lead_id,original_message,service_type,issue_summary,urgency,customer_intent,timing_need,missing_info,lead_quality,priority_score,priority_level,routing_decision,routing_reason
L0040,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0090,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0140,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0190,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0240,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0290,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0340,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0390,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0440,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0490,I smell burning plastic near the breaker panel and the lights went out. Need emergency electrical help now.,Electrical,I smell burning plastic near the breaker panel and the lights went out. Need emergency elect...,High,Request service,Immediate,None,High,92,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0001,Our AC stopped working overnight and the house is already 82 degrees. We have an infant at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 82 degrees. We have an infant at h...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0013,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0047,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0051,Our AC stopped working overnight and the house is already 87 degrees. We have two dogs at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 87 degrees. We have two dogs at ho...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0063,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0097,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0101,Our AC stopped working overnight and the house is already 83 degrees. We have an infant at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 83 degrees. We have an infant at h...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0113,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0147,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0151,Our AC stopped working overnight and the house is already 88 degrees. We have two dogs at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 88 degrees. We have two dogs at ho...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0163,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0197,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0201,Our AC stopped working overnight and the house is already 84 degrees. We have an infant at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 84 degrees. We have an infant at h...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0213,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0247,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0251,Our AC stopped working overnight and the house is already 89 degrees. We have two dogs at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 89 degrees. We have two dogs at ho...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0263,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0297,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0301,Our AC stopped working overnight and the house is already 85 degrees. We have an infant at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 85 degrees. We have an infant at h...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0313,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0347,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0351,Our AC stopped working overnight and the house is already 90 degrees. We have two dogs at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 90 degrees. We have two dogs at ho...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0363,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0397,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0401,Our AC stopped working overnight and the house is already 86 degrees. We have an infant at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 86 degrees. We have an infant at h...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0413,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0447,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0451,Our AC stopped working overnight and the house is already 82 degrees. We have two dogs at home. Can someone come today?,HVAC,Our AC stopped working overnight and the house is already 82 degrees. We have two dogs at ho...,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0463,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,Plumbing,The drain in our restaurant kitchen is backing up during lunch service. Need urgent help today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0497,The thermostat is blank and the heat is not turning on. We need someone today.,HVAC,The thermostat is blank and the heat is not turning on. We need someone today.,High,Request service,Same day,None,High,91,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0010,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0060,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0110,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0160,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0210,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0260,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0310,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0360,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0410,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0460,My breaker keeps tripping and half the house has no power. Need someone today if possible.,Electrical,My breaker keeps tripping and half the house has no power. Need someone today if possible.,High,Request service,Same day,None,High,90,Critical,Notify contractor immediately,Emergency or same-day lead with enough information to take action.
L0036,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Plumbing,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Medium,Request service,Tomorrow,None,Medium,76,High,Schedule normal callback,Lead is actionable but does not require immediate contractor notification.
L0086,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Plumbing,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Medium,Request service,Tomorrow,None,Medium,76,High,Schedule normal callback,Lead is actionable but does not require immediate contractor notification.
L0136,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Plumbing,Need help tomorrow. Bathroom sink is leaking under the cabinet.,Medium,Request service,Tomorrow,None,Medium,76,High,Schedule normal callback,Lead is actionable but does not require immediate contractor notification.
